Maa Nanna Chiranjeevi,2010,,Family,Arun Prasad,"Swetha Manchiraju, Santhosh R. Pogaru","Jagapathi Babu, Ali, Alutit, Brahmanandam",Telugu,India,N/A,5.3
Kanagavel Kaaka,2010,,Action,Kavin Bala,Kavin Bala,"Haripriya, Karan, Srinivasa Rao Kota, Adithya Menon",Tamil,India,N/A,N/A
Maanja Velu,2010,,Action,A. Venkatesh,Pattukottai Prabhakar (dialogue),"Chandrasekhar, Dhansika, Anu Hassan, Hemant",Tamil,India,N/A,4
Magane En Marumagane,2010,,"Comedy, Drama",T.P. Gajendran,N/A,"Livingston, Mithun, Paravai Muniyamma, Nasser",Tamil,India,N/A,N/A
Kattradhu Kalavu,2010,,Action,Balaji Devi Prasad,N/A,"Vijayalakshmi Agathiyan, Santhana Bharathi, Cochin Hanifa, Kalyan",Tamil,India,N/A,N/A
Singam,2010,,"Action, Thriller",Hari,Hari,"Suriya, Anushka Shetty, Prakash Raj, Vivek","Tamil, Tulu, English",India,2 wins & 4 nominations.,6.8
Pen Singam,2010,,N/A,Bali Srirangham,M. Karunanidhi,"Vagai Chandrasekar, Meera Jasmine, Uday Kiran, Raai Laxmi",Tamil,India,N/A,3.2
Drogam: Nadanthathu Enna?,2010,,Romance,Sameer,N/A,"Kishore, Leena, Saso, Ramya Sen",Tamil,India,N/A,4.5
Orr Eravuu,2010,,"Horror, Mystery, Thriller","Haresh Narayan, Krishna Sekhar, K. Hari Shankar","K. Hari Shankar, Haresh Narayan, Krishna Sekhar","Sathish G., Asha, Heventhika, Anand Chandrasekar",Tamil,India,N/A,8.2
Pa Ra Palanisamy,2010,,N/A,M. Razzak,N/A,"Prabhu Deva, Meenachi Kailash",Tamil,India,N/A,N/A
Raavanan,2010,,"Action, Adventure, Drama, Thriller",Mani Ratnam,"Mani Ratnam (story), Mani Ratnam, Suhasini (dialogue)","Vikram, Aishwarya Rai Bachchan, Prithviraj Sukumaran, Priyamani",Tamil,India,3 wins & 2 nominations.,6.8
Kalavani,2010,,Comedy,A. Sarkunam,A. Sarkunam,"Vimal, Oviya, Thirumurugan, Ilavarasu",Tamil,India,N/A,7.1
Milaga,2010,,Action,S. Ravi Mariya,N/A,"Ilavarasu, Jagan, K.P. Jagannath, G.M. Kumar",Tamil,India,N/A,5
Ambasamudram Ambani,2010,,N/A,Ramnath,N/A,"Delhi Ganesh, Cochin Hanifa, Karunas, Navneet Kaur",Tamil,India,N/A,N/A
Anandhapurathu Veedu,2010,,Mystery,Naga,"Aryan, Megh Varn Pant","Master Aryan, Ganesh Babu, Kalairani, Krishna",Tamil,India,N/A,6.1
Madrasapattinam,2010,,"Drama, History, Romance",Vijay,"Mike Parish, Vijay","Arya, Carole Trangmar-Palmer, Amy Jackson, Cochin Hanifa","Tamil, English",India,6 nominations.,7.8
Pollachi Mappillai,2010,,Drama,R. Lakshmanan,N/A,"Abhinayasri, Alex, T.P. Gajendran, Goundamani",Tamil,India,N/A,2.1
Thillalangadi,2010,,"Action, Comedy, Crime",M. Raja,"M. Raja (screenplay), Vakkantham Vamsi (story)","Jayam Ravi, Tamannaah Bhatia, Shaam, Vadivelu",Tamil,India,N/A,4.7
Thambi Arjuna,2010,,Action,Vijay R. Anand,N/A,"Ashima Bhalla, Ramana",Tamil,India,N/A,N/A
Baana Kaathadi,2010,,Romance,Badri Venkatesh,L.K.,"Atharvaa Murali, Prasanna, Samantha Ruth Prabhu, Karunas",Tamil,India,N/A,5.6
Pesuvatha Kiliya,2010,,N/A,S. Gowrishankar,N/A,"Muthukalai, Shakthi",Tamil,India,N/A,N/A
Vamsam,2010,,Action,Pandiraj,Pandiraj,"Arulnidhi, V. Jayaprakash, 'Ganja' Karuppu, Kishore",Tamil,India,N/A,6.1
Inidhu Inidhu,2010,,Romance,K.V. Guhan,N/A,"Adith Arun, Sunny Sawrav, Sonia",Tamil,India,N/A,7
Naan Mahaan Alla,2010,,"Action, Crime, Drama",Suseenthiran,"Bhaskar Sakthi (dialogue), Suseenthiran","Karthi, Kajal Aggarwal, V. Jayaprakash, Krishna Priya",Tamil,India,2 nominations.,7.1
Neeyum Naanum,2010,,N/A,S.V. Solairaja,N/A,"Sanjeev, Sethna",Tamil,India,N/A,N/A
Bale Pandiya,2010,,Comedy,Chandrasekar Siddharth,N/A,"Vishnu Vishal, Piaa Bajpai, Vivek, Girbarn",Tamil,India,N/A,5.6
Irandu Mugam,2010,,Action,R. Aravindraj,N/A,"Malavika Avinash, M.S. Bhaskar, Anu Hassan, Suhani Kalita",Tamil,India,N/A,N/A
Sindhu Samaveli,2010,,Drama,Samy,N/A,"Harish Kalyan, Amala Paul, Fahad Nasar, Ghajini",Tamil,India,N/A,4.5
Drohi,2010,,"Action, Drama",Sudha Kongara,Sudha Kongara,"Poonam Bajwa, Tanikella Bharani, S.P.B. Charan, Mime Gopi",Tamil,India,N/A,5.5
Vandae Maatharam,2010,,Action,T. Aravind,"Henry, R.N.R. Manohar","Jai Akash, Arjun, Shraddha Arya, Rajan P. Dev","Tamil, Malayalam",India,N/A,5
Enthiran,2010,,"Action, Sci-Fi",S. Shankar,"Madhan Karky (dialogue), Swanand Kirkire (hindi dialogue), S. Shankar (dialogue), S. Shankar (story and screenplay), Sujatha (dialogue)","Rajinikanth, Aishwarya Rai Bachchan, Danny Denzongpa, Santhanam",Tamil,India,11 wins & 6 nominations.,7.1
Gowravargal,2010,,Action,Sanjay Ram,N/A,"Bhanuchander, Sri Kala, Ramesh Khanna, Kuyili",Tamil,India,N/A,N/A
Naane Ennul Illai,2010,,N/A,Jayachitra,N/A,"Gangai Amaran, Bhagyaraj, Bosskey, Gurline Chopra",Tamil,India,N/A,N/A
Vaadaa,2010,,Action,A. Venkatesh,"Pattukottai Prabhakar, A. Venkatesh","Sundar C., Raj Kapoor, Kushboo, Sheryl Pinto",Tamil,India,N/A,N/A
Neethana Avan,2010,,N/A,Panch Barath,N/A,"Sriman, Kadhal Thandapani",Tamil,India,N/A,N/A
Mynaa,2010,,"Action, Romance",Prabu Solomon,Prabu Solomon (screenplay & original story),"Vidharth, Amala Paul, Thambi Ramaiah, Sethu",Tamil,India,3 wins & 3 nominations.,7.3
Uthama Puthiran,2010,,"Comedy, Romance",Mithran Jawahar,Gopimohan (original script),"Dhanush, Genelia D'Souza, Vivek, Ashish Vidyarthi",Telugu,India,N/A,5.5
Va: Quarter Cutting,2010,,Comedy,"Gayatri, Pushkar","Gayatri, Pushkar","Shiva, S.P.B. Charan, Lekha Washington, John Vijay",Tamil,India,N/A,6.2
Vallakottai,2010,,Action,A. Venkatesh,N/A,"Arjun, Haripriya, 'Ganja' Karuppu, Venniradai Moorthy",Tamil,India,N/A,N/A
Magizhchi,2010,,Drama,V. Gowthaman,N/A,N/A,Tamil,India,N/A,N/A
Mandhira Punnagai,2010,,N/A,Karu Pazhaniappan,Karu Pazhaniappan,"Ammu, Dhananjayan, Meenakshi, Karu Pazhaniappan",Tamil,India,N/A,N/A
Kanimozhi,2010,,"Musical, Romance",Sripathy Rangasamy,Sripathy Rangasamy,"Ajay, Jai, Shazahn Padamsee, Ashwin Raja",Tamil,India,N/A,N/A
Chikku Bukku,2010,,Romance,Manikandan,"Manikandan, Sunanda Murali Manohar, Shankar Ramakrishnan (dialogue)","Arya, Shriya Saran, Preetika Rao, Santhanam",Tamil,India,N/A,4
Tu Tha Mun Jauchi Rushi,2010,,"Drama, Musical, Romance",Sritam Das,"Sritam Das (screenplay), Tribeni Kumar Mohanty (story), Chinmoy Das Patnaik (dialogue)","Arindam Roy, Koyel Mallick, Mihir Das, Usasi Misra",Oriya,India,N/A,6.2
Ayyanar,2010,,"Action, Drama",Rajamithran,Rajamithran,"Aadhi, V. Jayaprakash, Anupama Kumar, Mahadevan",Tamil,India,N/A,4.3
Virudhagiri,2010,,Action,Vijayakanth,Vijayakanth,"Russell Geoffrey Banks, Santhana Bharathi, Chaams, Meenakshi Dixit",Tamil,India,N/A,2.2
Aattanayagann,2010,,"Action, Comedy",Krishnaram,Krishnaram,"Ashwini, Lollu Sabha Jeeva, Ravi Kale, Adithya Menon",Tamil,India,N/A,N/A
Easan,2010,,Drama,M. Sasikumar,N/A,"Abhinaya, A.L. Alagappan, Aparna Bajpai, Blessy",Tamil,India,N/A,N/A
Nil Gavani Sellathey,2010,,Drama,K. Anand Chakravarthy,N/A,Jagan,Tamil,India,N/A,N/A
Manmadhan Ambu,2010,,"Comedy, Drama","K.S. Ravikumar, Rajesh M. Selva(co-director)","Kamal Haasan, Meghana Karthik (subtitles)","Kamal Haasan, Madhavan, Trisha Krishnan, Sangeetha",Tamil,India,2 nominations.,5.6
Aridhu Aridhu,2010,,Drama,K.R. Mathivanan,N/A,"Abdul Hakeem, Harish Kalyan, Harihar Raj, Uttara Raj",Tamil,India,N/A,3.1
Nellu,2010,,Drama,Shiva Shankar,N/A,"Bhagyanjali, Karthik Jaya, Ranjan, Sathya",Tamil,India,N/A,N/A
Thenmerku Paruvakaatru,2010,,"Action, Family",Seenu Ramasamy,N/A,"Saranya Ponvannan, Vijay Sethupathi, Vasundhara Kashyap, Aruldoss",Tamil,India,4 wins.,6.9
Kotti,2010,,Drama,Sivan,Sivan,"Athish, Bhagyanjali, Sai Kumar, Sivan",Tamil,India,N/A,N/A
Mudhal Kadhal Mazhai,2010,,Drama,K.R. Mathivanan,K.R. Mathivannan,"Mahendran, Rajesh, Nizhalgal Ravi, Swathika",Tamil,India,N/A,N/A
Villalan,2010,,Action,"Suriyan, Vetrivel",N/A,"Ashmitha, Guru, Vetrivel",Tamil,India,N/A,N/A
Thamizh Desam,2011,,N/A,Tamizh Selvan,Tamizh Selvan,"Raghuvannan, Varshini",Tamil,India,N/A,N/A
Aadukalam,2011,,"Action, Drama, Sport, Thriller",Vetrimaaran,"Meghana Karthik (subtitles), Vetrimaaran","Dhanush, Taapsee Pannu, Jayabalan, Kishore Kumar G.",Tamil,India,15 wins & 9 nominations.,8.1
Siruthai,2011,,Action,Siva,N/A,"Karthi, Tamannaah Bhatia, Santhanam, Avinash",Tamil,India,1 nomination.,5.9
Kaavalan,2011,,"Action, Drama, Romance",Siddique,Siddique,"Joseph Vijay, Asin, Raj Kiran, Vadivelu",Tamil,India,1 win & 2 nominations.,6.7
Pathinaaru,2011,,Romance,S.D. Sabha,S.D. Sabha,"Abhishek, Kasthuri, Kishore Kumar, Velu Prabhakaran",Tamil,India,N/A,5
Vaada Poda Nanbargal,2011,,Comedy,Manikai,N/A,"Nanda, Nizhalgal Ravi, Sharan, Yashika",Tamil,India,N/A,N/A
Thoonga Nagaram,2011,,"Comedy, Family, Thriller",Gaurav Narayanan,N/A,"Vimal, Anjali, Bharani, Nishanth",Tamil,India,N/A,6.1
Nandhi,2011,,Action,Tamilvannan,Tamilvannan,"Akhil, Sanusha, Singampuli",Tamil,India,N/A,N/A
Payanam,2011,,"Action, Crime",Radha Mohan,"T.J. Gnanavel, Radha Mohan (story & screenplay)","Nagarjuna Akkineni, Prakash Raj, Sana Khaan, Poonam Kaur",Tamil,India,N/A,7.4
