Vadakku Vaasal,
Nadhi Karaiyinile,
Anbe Un Vasam,
Mullil Roja,
Konji Pesalaam,
Ooruku Nooruper,
Enakku 20 Unakku 18,
Thathi Thavadhu Manasu,
Indru,
Sindhamal Sitharamal,
Kadhal Saregama,2004
Ullathai Killathe,
Kovil,
Pudhukottaiyilirundhu Saravanan,
Virumaandi,
Ennavo Pudichirukku,
Nee Mattum,
Aarumugasaamy,
Pethi Solla Thattathea,
Udhaya,
Kanavu Meippada Vendum,
Aethirree,
Kavidhai,
Perazhagan,
Settai,
Aaytha Ezhuthu,
Machi,
Super Da,
Sema Ragalai,
Azhagiya Theeye,
Kadhale Jayam,
Uyirosai,
Arivumani,
Vasool Raja MBBS,
Kalamulla Kalam Varai,
Madhurey,
Kudaikul Mazhai,
Chellamae,
M. Kumaran Son of Mahalakshmi,
Oru Murai Sollividu,
Adhu,
7G Rainbow Colony,
En Purushan Ethir Veetu Ponnu,
Attahasam,
Chatrapathy,
Amma Appa Chellam,
Jaisurya,
Jananam,
Meesai Madhavan,
Gomathy Nayagam,
Kadhale Engal Desiya Geetham,
Ramakrishna,
Devathayai Kanden,2005
Kannadi Pookal,
Kannamma,
Ulla Kadathal,
Kadhal Seiya Virumbu,
Mannin Maindhan,
Maayavi,
Karagattakkari,
Rightaa Thappaa,
Thaka Thimi Tha,
Sevvel,
Mumbai Express,
Karka Kasadara,
Kana Kandaen,
Amudhey,
Arinthum Ariyamalum,
Girivalam,
Pesuvoma,
Padhavi Paduthum Paadu,
Englishkaran,
Pon Megalai,
Kaatrullavarai,
Thirudiya Idhayathai,
Ayul Regai,
43875,
Thullum Kaalam,
Varapogum Sooriyane,
Alaiyadikkuthu,
ABCD,
Anda Naal Nyabagam,
Chidambarathil Oru Appasamy,
Karpanai,
Kalaiyatha Ninaivugal,
Mudhal Aasai,
Kasthuri Maan,
Adhu Oru Kana Kaalam,
Sivakasi,
Perusu,
Majaa,
Saadhuriyan,
Anbe Vaa,
Uyir Ullavarai,
Aanai,
Thavamai Thavamirundhu,
Vetrivel Sakthivel,
Veeranna,
Vanakkam Thalaiva,
Sollattuma,
Unarchigal,
Pasa Kiligal,2006
Idhaya Thirudan,
Amirtham,
June R,
Kalvanin Kadhali,
Madarasi,
Nagareega Komali,
Thambi,
Oru Kadhal Seiveer,
Sudesi,
Theenda Theenda,
Azhagai Irukkirai Bayamai Irukkirathu,
Suyetchai MLA,
Kokki,
Pudhupettai,
Vanjagan,
Don Chera,
Naalai,
Kusthi,
Thullura Vayasu,
Imsai Arasan 23m Pulikesi,
Thodamale,
Thoothukudi,
Yuga,
47A Besant Nagar Varai,
Unakkum Enakkum,
Aran,
Kadhale En Kadhale,
Kurukshetram,
